Название вакансии,название компании,зарплата,ссылка на вакансию
Руководитель отдела ВЭД,Эй Би ВЭД,,https://hh.ru/vacancy/130856591?query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BE%D1%82%D0%B4%D0%B5%D0%BB%D0%B0+%D0%BB%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B8%D0%BA%D0%B8&hhtmFrom=vacancy_search_list
Руководитель отдела логистики/ Транспортно-экспедиторская компания,ООО МАРШАЛ,,https://hh.ru/vacancy/130694577?query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BE%D1%82%D0%B4%D0%B5%D0%BB%D0%B0+%D0%BB%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B8%D0%BA%D0%B8&hhtmFrom=vacancy_search_list
Руководитель склада и внутренней логистики,ООО Цветной Мир,,https://hh.ru/vacancy/130565317?query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BE%D1%82%D0%B4%D0%B5%D0%BB%D0%B0+%D0%BB%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B8%D0%BA%D0%B8&hhtmFrom=vacancy_search_list
Менеджер отдела сопровождения отгрузок,ООО Кбс-Логистик,,https://hh.ru/vacancy/130893174?query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BE%D1%82%D0%B4%D0%B5%D0%BB%D0%B0+%D0%BB%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B8%D0%BA%D0%B8&hhtmFrom=vacancy_search_list
Руководитель складского комплекса,ИП Разумовская Анна Григорьевна,,https://hh.ru/vacancy/130770700?query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BE%D1%82%D0%B4%D0%B5%D0%BB%D0%B0+%D0%BB%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B8%D0%BA%D0%B8&hhtmFrom=vacancy_search_list
"Логист | Руководитель отдела логистики (мувинг, переезды, moving, международный мувинг, ВЭД)",International Cargo,,https://hh.ru/vacancy/130089416?query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BE%D1%82%D0%B4%D0%B5%D0%BB%D0%B0+%D0%BB%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B8%D0%BA%D0%B8&hhtmFrom=vacancy_search_list
Руководитель группы (отдел по отгрузке),Медипал,,https://hh.ru/vacancy/129532378?query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BE%D1%82%D0%B4%D0%B5%D0%BB%D0%B0+%D0%BB%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B8%D0%BA%D0%B8&hhtmFrom=vacancy_search_list
Руководитель отдела клиентского сервиса,CATAPULTO.RU,,https://hh.ru/vacancy/130382919?query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BE%D1%82%D0%B4%D0%B5%D0%BB%D0%B0+%D0%BB%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B8%D0%BA%D0%B8&hhtmFrom=vacancy_search_list
Ведущий менеджер по закупкам/Заместитель руководителя отдела закупок,Агат +,,https://hh.ru/vacancy/130472123?query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BE%D1%82%D0%B4%D0%B5%D0%BB%D0%B0+%D0%BB%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B8%D0%BA%D0%B8&hhtmFrom=vacancy_search_list
Менеджер по транспортно-складской логистике,ООО Юнайтед Индастриал,,https://hh.ru/vacancy/130753314?query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BE%D1%82%D0%B4%D0%B5%D0%BB%D0%B0+%D0%BB%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B8%D0%BA%D0%B8&hhtmFrom=vacancy_search_list
Руководитель отдела технологий и бизнес-процессов операционной логистики,Х5 IMPORT,,https://hh.ru/vacancy/130009229?query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BE%D1%82%D0%B4%D0%B5%D0%BB%D0%B0+%D0%BB%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B8%D0%BA%D0%B8&hhtmFrom=vacancy_search_list
"Руководитель отдела продаж / Head of Sales (e-commerce, маркетплейсы)",ООО ПромТраст,,https://hh.ru/vacancy/130741337?query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BE%D1%82%D0%B4%D0%B5%D0%BB%D0%B0+%D0%BB%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B8%D0%BA%D0%B8&hhtmFrom=vacancy_search_list
Руководитель отдела продаж,ТрансГрупп,,https://hh.ru/vacancy/130871286?query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BE%D1%82%D0%B4%D0%B5%D0%BB%D0%B0+%D0%BB%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B8%D0%BA%D0%B8&hhtmFrom=vacancy_search_list
Руководитель отдела продаж,"Воздушные фильтры, компания",,https://hh.ru/vacancy/130890214?query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BE%D1%82%D0%B4%D0%B5%D0%BB%D0%B0+%D0%BB%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B8%D0%BA%D0%B8&hhtmFrom=vacancy_search_list
Менеджер по логистике (Wildberries),ИП Чегодайкин Сергей Александрович,,https://hh.ru/vacancy/130300543?query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BE%D1%82%D0%B4%D0%B5%D0%BB%D0%B0+%D0%BB%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B8%D0%BA%D0%B8&hhtmFrom=vacancy_search_list
Руководитель отдела продаж (международная логистика),ООО Гровэкс,,https://hh.ru/vacancy/130442973?query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BE%D1%82%D0%B4%D0%B5%D0%BB%D0%B0+%D0%BB%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B8%D0%BA%D0%B8&hhtmFrom=vacancy_search_list
